Elements, fc_18_0, fc_18_1, fcio_18_0, fcio_18_1, wn_18_0, wn_18_1,wnio_18_0, wnio_18_1,mpi_n2_18_0,mpi_n2_18_1,mpi_n4_18_0,mpi_n4_18_1
10420,0.248402,0.255923,0.215028,0.239216,0.33163,0.33134,0.304039,0.318107,0.4144,0.433695,0.285656,0.297703
10420,0.248431,0.255836,0.21451,0.23849,0.331593,0.331316,0.305259,0.318334,0.414184,0.434139,0.284326,0.297686
10420,0.248312,0.255804,0.214251,0.23784,0.331626,0.331324,0.304209,0.31914,0.414596,0.433829,0.285541,0.297841
10420,0.248587,0.25572,0.215106,0.238401,0.331594,0.331317,0.305641,0.319169,0.414513,0.434267,0.284611,0.297711
10420,0.248343,0.255819,0.214456,0.238407,0.331706,0.331339,0.30519,0.319079,0.414453,0.433577,0.285064,0.29762
10420,0.248533,0.255834,0.213607,0.239176,0.331658,0.331321,0.305226,0.319241,0.414422,0.434183,0.284558,0.298011
10420,0.248531,0.255791,0.214589,0.238309,0.331585,0.331287,0.305253,0.319043,0.414461,0.433642,0.285231,0.297766
10420,0.248542,0.255864,0.214304,0.238368,0.331671,0.331326,0.304767,0.319121,0.414508,0.434115,0.284556,0.297438
10420,0.248518,0.255812,0.21437,0.238299,0.331678,0.331287,0.30475,0.319118,0.413866,0.433526,0.435903,0.298014
10420,0.248396,0.255781,0.21449,0.237736,0.331639,0.331331,0.304924,0.319309,0.415599,0.43395,0.434029,0.297824
10420,0.248374,0.255845,0.214399,0.239245,0.331569,0.331308,0.305007,0.318739,0.414388,0.433374,0.285821,0.297571
10420,0.248446,0.256002,0.214393,0.237661,0.331623,0.331327,0.305084,0.318834,0.414185,0.433588,0.285879,0.29764
10420,0.248429,0.255836,0.214288,0.23925,0.331703,0.331277,0.305561,0.318715,0.414425,0.433839,0.285744,0.297565
10420,0.248433,0.2558,0.214129,0.238763,0.331635,0.331281,0.305477,0.318839,0.413746,0.434354,0.285873,0.297868
10420,0.248578,0.255847,0.214081,0.239195,0.331668,0.331355,0.30441,0.318776,0.414839,0.434279,0.285676,0.297703
10420,0.248346,0.255917,0.214103,0.238736,0.331682,0.331336,0.305594,0.318612,0.414408,0.434311,0.285766,0.297824
10420,0.248509,0.25581,0.214121,0.23916,0.331599,0.331319,0.305633,0.318707,0.413084,0.433739,0.285961,0.297688
10420,0.248407,0.255822,0.214261,0.238406,0.331663,0.331298,0.304248,0.318901,0.415106,0.434298,0.28565,0.297674
10420,0.248454,0.255935,0.214094,0.239438,0.331728,0.331706,0.304321,0.318042,0.414539,0.434389,0.286139,0.297734
1052,0.128014,0.127685,0.102133,0.104553,0.224893,0.121883,0.108506,0.108756,0.154251,0.153771,0.150461,0.151951
1052,0.12737,0.127642,0.102257,0.104239,0.124496,0.121902,0.108344,0.109552,0.154533,0.15354,0.151246,0.15227
1052,0.127218,0.127683,0.110528,0.104423,0.12453,0.121921,0.108858,0.109467,0.157459,0.155627,0.155227,0.15575
1052,0.127312,0.127665,0.101943,0.104751,0.124525,0.12192,0.108924,0.10869,0.154094,0.153491,0.150758,0.152489
1052,0.12745,0.127716,0.101725,0.104517,0.124493,0.121951,0.10893,0.109376,0.154313,0.154026,0.151281,0.152172
1052,0.227523,0.127656,0.101867,0.104342,0.124482,0.121905,0.120664,0.109337,0.154213,0.154047,0.150679,0.153352
1052,0.127431,0.127715,0.10215,0.104454,0.124505,0.121926,0.109009,0.108829,0.154144,0.154033,0.15079,0.152108
1052,0.12718,0.127692,0.110687,0.104718,0.124473,0.121905,0.120555,0.109608,0.154281,0.154047,0.150719,0.15214
1052,0.127315,0.127664,0.102433,0.105074,0.124489,0.121914,0.108312,0.109556,0.154115,0.153982,0.150691,0.151993
1052,0.127331,0.12768,0.102277,0.104611,0.124498,0.121894,0.108738,0.109204,0.153936,0.153625,0.150698,0.152285
1052,0.127571,0.127701,0.102429,0.104594,0.124478,0.121923,0.108914,0.108959,0.15399,0.153802,0.150883,0.152204
1052,0.127266,0.127703,0.102077,0.104434,0.124502,0.121901,0.1088,0.109194,0.154287,0.153865,0.300195,0.152274
1052,0.127647,0.127651,0.102239,0.104596,0.124582,0.121881,0.108437,0.10928,0.154198,0.153799,0.150988,0.152316
1052,0.127394,0.127751,0.1021,0.104889,0.124502,0.121896,0.10862,0.109306,0.154178,0.154082,0.151064,0.152439
1052,0.127434,0.127723,0.102564,0.104472,0.124533,0.121874,0.108973,0.109257,0.154175,0.154109,0.151189,0.15237
1052,0.127307,0.127625,0.102151,0.104609,0.124484,0.121954,0.110377,0.109115,0.154557,0.154044,0.150976,0.152698
1052,0.127349,0.127663,0.102462,0.10435,0.124474,0.121963,0.108981,0.109011,0.154483,0.153997,0.151068,0.152239
1052,0.127394,0.127671,0.103763,0.10478,0.124459,0.121925,0.120835,0.110264,0.154781,0.153912,0.151111,0.152477
1052,0.127229,0.127698,0.101923,0.104968,0.124558,0.121915,0.10852,0.108799,0.154755,0.15401,0.151244,0.152407
1052,0.127438,0.127739,0.102241,0.106382,0.124482,0.121966,0.108521,0.108806,0.154608,0.153894,0.150805,0.152573
1052,0.127228,0.127645,0.102247,0.10458,0.124456,0.121952,0.119175,0.10912,0.154781,0.153921,0.15135,0.152266
1052,0.127334,0.12765,0.102002,0.104488,0.124545,0.121963,0.108908,0.109466,0.154696,0.153597,0.150749,0.152297
1052,0.127407,0.127668,0.102177,0.104638,0.124484,0.121964,0.108835,0.109669,0.154948,0.153621,0.151194,0.152414
1052,0.12732,0.127666,0.102533,0.104701,0.124553,0.121975,0.121414,0.109375,0.154854,0.153763,0.150959,0.152524
1052,0.127195,0.127656,0.110801,0.104529,0.124515,0.121947,0.108979,0.108703,0.154918,0.153965,0.150629,0.152027
1052,0.127377,0.127711,0.10264,0.104561,0.124524,0.121933,0.108832,0.108784,0.154378,0.15368,0.150435,0.152012
1052,0.127273,0.127652,0.110989,0.104416,0.12448,0.121898,0.108805,0.109025,0.15441,0.153894,0.156924,0.152102
1052,0.127418,0.127619,0.102435,0.104969,0.124509,0.121986,0.120642,0.109424,0.154355,0.154026,0.156395,0.152442
1052,0.127374,0.127754,0.102115,0.105067,0.124541,0.121928,0.108608,0.109324,0.154607,0.154208,0.156425,0.15202
1052,0.127309,0.127709,0.102625,0.104399,0.12456,0.121925,0.108535,0.109235,0.15456,0.153706,0.156136,0.151968
203163,2.547537,2.721879,2.298245,2.770511,4.482151,4.496208,4.217796,4.41235,5.44091,5.83431,2.913159,3.153545
203163,2.552474,2.728175,2.299422,2.772734,4.47696,4.490975,4.207662,4.407267,5.444059,5.833567,2.915273,3.160883
203163,2.549275,2.726613,2.303988,2.772831,4.478478,4.492571,4.21052,4.40951,5.444556,5.833948,2.911094,3.150058
203163,2.547561,2.721492,2.298012,2.769798,4.478542,4.493198,4.210607,4.408773,5.44489,5.833642,2.910421,3.148884
203163,2.548149,2.722029,2.298473,2.769699,4.478531,4.490703,4.210751,4.408767,5.444506,5.834185,2.910992,3.149396
203163,2.54729,2.721905,2.298414,2.768008,4.478538,4.492609,4.210712,4.408184,5.445023,5.834373,2.91047,3.148296
203163,2.547427,2.722057,2.298439,2.768231,4.478317,4.492616,4.210304,4.408691,5.444482,5.834163,2.911085,3.149165
203163,2.547824,2.722029,2.298336,2.769937,4.478453,4.492801,4.21042,4.408606,5.445344,5.833724,2.911152,3.150642
203163,2.547374,2.721728,2.298631,2.768217,4.478687,4.493274,4.210605,4.408663,5.445029,5.833845,2.910786,3.150083
203163,2.548212,2.722013,2.298721,2.767661,4.479156,4.493471,4.21106,4.409523,5.444974,5.83184,2.910779,3.149697
203163,2.54732,2.722276,2.298357,2.770263,4.478732,4.493591,4.210172,4.40946,5.445275,5.834509,2.910681,3.147718
203163,2.547777,2.72207,2.298316,2.76851,4.478678,4.493402,4.210046,4.409196,5.44505,5.834421,2.910656,3.149897
203163,2.547204,2.721976,2.29847,2.767824,4.478677,4.492761,4.209964,4.409145,5.444722,5.834868,2.909529,3.148388
203163,2.547528,2.721448,2.298456,2.767763,4.479244,4.49304,4.210029,4.408883,5.44512,5.834442,2.910391,3.147091
203163,2.547365,2.722002,2.298341,2.770099,4.47888,4.492851,4.210232,4.408411,5.445546,5.833878,2.911892,3.150126
203163,2.559419,2.721364,2.298573,2.768426,4.478645,4.492945,4.210167,4.409702,5.445617,5.833779,2.91058,3.150102
203163,2.547331,2.722037,2.29823,2.768264,4.478637,4.492672,4.210364,4.409436,5.445321,5.83442,2.9108,3.148556
203163,2.547124,2.722126,2.29856,2.768093,4.478488,4.492942,4.210876,4.408974,5.444893,5.834411,2.910668,3.148983
203163,2.547364,2.722344,2.298829,2.766519,4.47908,4.493227,4.211534,4.408879,5.445552,5.834088,2.911038,3.149847
203163,2.547395,2.721889,2.298421,2.767419,4.479179,4.492951,4.210712,4.408737,5.445935,5.834046,2.910232,3.148351
203163,2.547744,2.721543,2.298244,2.768345,4.479028,4.493254,4.210837,4.408908,5.445803,5.834496,2.910918,3.149756
203163,2.547407,2.721571,2.298246,2.768046,4.478817,4.493073,4.210501,4.408556,5.445427,5.833751,2.910851,3.149419
203163,2.547062,2.721094,2.298733,2.769935,4.479211,4.493015,4.210435,4.408819,5.444664,5.834027,2.910756,3.149369
203163,2.548527,2.722549,2.29855,2.769651,4.479311,4.493314,4.210602,4.40848,5.445363,5.834278,2.910969,3.150101
203163,2.547417,2.722371,2.298496,2.768087,4.478726,4.4931,4.210387,4.408739,5.444636,5.834614,2.910994,3.148648
203163,2.547392,2.721682,2.29856,2.768709,4.478874,4.492735,4.210627,4.408711,5.445471,5.834413,2.911093,3.149408
203163,2.547293,2.722209,2.298277,2.768287,4.478768,4.492723,4.210484,4.408452,5.446394,5.834441,2.911154,3.150635
203163,2.547285,2.722148,2.298288,2.767886,4.478717,4.493442,4.210583,4.408786,5.445154,5.834706,2.910699,3.150438
203163,2.547389,2.721601,2.298103,2.769953,4.478905,4.49314,4.210297,4.408508,5.445573,5.835527,2.911227,3.149455
203163,2.547367,2.722924,2.298377,2.768678,4.478826,4.493061,4.210291,4.408894,5.445558,5.833918,2.910967,3.150794
19982,0.367487,0.380505,0.320179,0.362634,0.547776,0.531831,0.497183,0.531985,0.676273,0.714901,0.422089,0.44477
19982,0.367423,0.380383,0.320685,0.364221,0.547676,0.531898,0.497282,0.53196,0.678633,0.715091,0.422546,0.444468
19982,0.367521,0.380468,0.321258,0.363436,0.547641,0.531843,0.496993,0.532811,0.679915,0.719479,0.424945,0.446259
19982,0.368024,0.380375,0.320573,0.361747,0.549669,0.533768,0.497159,0.53131,0.675938,0.714565,0.421844,0.44444
19982,0.367572,0.380523,0.321424,0.363077,0.547717,0.533185,0.496683,0.531537,0.675894,0.714522,0.422166,0.444938
19982,0.368066,0.380419,0.320598,0.362603,0.54771,0.53184,0.497434,0.530686,0.675912,0.714403,0.421887,0.444674
19982,0.367522,0.380392,0.320802,0.364144,0.547701,0.531814,0.497867,0.53136,0.67551,0.714482,0.421596,0.445129
19982,0.367576,0.380462,0.320517,0.36246,0.547635,0.531894,0.497583,0.531764,0.675052,0.714216,0.422159,0.444362
19982,0.367472,0.380367,0.320874,0.362617,0.547651,0.531874,0.496355,0.53165,0.675422,0.714201,0.421836,0.444917
19982,0.368082,0.38038,0.320814,0.362409,0.547251,0.531856,0.496978,0.532225,0.674281,0.714015,0.422063,0.444806
19982,0.36762,0.380383,0.320645,0.36461,0.547753,0.531849,0.496823,0.531831,0.675173,0.714243,0.421615,0.444996
19982,0.36757,0.380318,0.320698,0.364023,0.547653,0.531882,0.497981,0.532671,0.675073,0.714237,0.421421,0.444486
19982,0.367573,0.380461,0.320027,0.36408,0.547598,0.531935,0.496816,0.531604,0.674824,0.714367,0.422468,0.445088
19982,0.367406,0.380429,0.320768,0.364065,0.547671,0.531871,0.497486,0.532431,0.675952,0.714504,0.421173,0.443706
19982,0.367611,0.380478,0.320525,0.363056,0.547676,0.531802,0.497733,0.531453,0.675074,0.714845,0.421858,0.594169
19982,0.36747,0.380344,0.471073,0.364217,0.547694,0.531855,0.497791,0.531596,0.6761,0.714836,0.422483,0.44541
19982,0.367544,0.380374,0.321002,0.364185,0.547603,0.531833,0.499219,0.532262,0.675499,0.714448,0.421511,0.444472
19982,0.367523,0.380311,0.320677,0.364172,0.547624,0.531842,0.497818,0.532088,0.675647,0.714357,0.422229,0.444605
19982,0.367501,0.380383,0.320381,0.364301,0.54765,0.531801,0.497819,0.531869,0.676081,0.714552,0.421423,0.444765
19982,0.367603,0.380353,0.320709,0.364079,0.547659,0.53187,0.497375,0.531736,0.675616,0.714684,0.421887,0.444928
19982,0.367448,0.380417,0.320895,0.362566,0.54762,0.531834,0.497021,0.531745,0.675771,0.715014,0.422127,0.444417
19982,0.367584,0.380406,0.320993,0.364506,0.547667,0.531862,0.497211,0.531428,0.676385,0.714358,0.422261,0.444481
19982,0.367648,0.380463,0.320804,0.363054,0.547708,0.531832,0.497402,0.532166,0.675073,0.715009,0.420912,0.444524
19982,0.367705,0.380426,0.320671,0.364496,0.547679,0.531847,0.497342,0.532098,0.675905,0.71429,0.421396,0.444479
19982,0.367679,0.380367,0.320697,0.364304,0.547597,0.531832,0.497002,0.531169,0.676173,0.714435,0.421845,0.444758
19982,0.367414,0.380488,0.322142,0.364266,0.547711,0.531825,0.497031,0.531671,0.675702,0.714471,0.420727,0.444772
19982,0.367768,0.380476,0.32215,0.364195,0.547607,0.531871,0.497408,0.531686,0.676352,0.714603,0.421496,0.445239
19982,0.367467,0.38037,0.322172,0.363037,0.547634,0.531771,0.497154,0.532146,0.67598,0.715026,0.422241,0.444665
19982,0.367483,0.380471,0.320923,0.36426,0.547748,0.531863,0.496925,0.531884,0.675952,0.714864,0.420826,0.445282
19982,0.367434,0.380436,0.322144,0.364511,0.547634,0.531838,0.497108,0.531747,0.675947,0.714536,0.422358,0.444903
1978,0.139672,0.140553,0.113278,0.117925,0.145937,0.142825,0.129355,0.131332,0.180042,0.183378,0.156208,0.159876
1978,0.139681,0.140584,0.112663,0.117886,0.145947,0.142775,0.129288,0.130727,0.179753,0.185922,0.155852,0.156477
1978,0.139631,0.14061,0.11333,0.118186,0.145886,0.142763,0.129088,0.132325,0.183028,0.188081,0.159579,0.160662
1978,0.139654,0.140582,0.113549,0.117895,0.145928,0.142782,0.129107,0.130697,0.180442,0.183619,0.15566,0.156485
1978,0.13979,0.140556,0.113675,0.117895,0.145893,0.142787,0.129097,0.131539,0.180113,0.182809,0.155349,0.156204
1978,0.139548,0.140554,0.113219,0.118194,0.145913,0.14279,0.127952,0.131146,0.180113,0.183138,0.155657,0.156449
1978,0.139715,0.140529,0.113057,0.118118,0.145924,0.142772,0.128368,0.130706,0.180411,0.183249,0.155391,0.156522
1978,0.139678,0.140555,0.113614,0.118174,0.14603,0.142781,0.129111,0.131283,0.180192,0.185922,0.155426,0.156353
1978,0.139634,0.14054,0.11321,0.118164,0.14591,0.142807,0.127938,0.131342,0.180535,0.185594,0.155277,0.156663
1978,0.13977,0.140906,0.125575,0.117762,0.145897,0.142787,0.140323,0.131235,0.180351,0.185905,0.155439,0.156704
1978,0.139804,0.140571,0.113073,0.117725,0.14595,0.142798,0.129143,0.131353,0.18047,0.185718,0.15526,0.156714
1978,0.139668,0.140536,0.113092,0.117942,0.145913,0.142802,0.127979,0.130921,0.180226,0.1856,0.279451,0.156872
1978,0.139658,0.140543,0.113123,0.117965,0.145944,0.142778,0.129188,0.131348,0.180343,0.18294,0.154994,0.156926
1978,0.139544,0.140564,0.11294,0.117877,0.145924,0.142796,0.12966,0.131237,0.180594,0.182825,0.155347,0.156874
1978,0.139843,0.140473,0.113305,0.117786,0.145928,0.142799,0.128969,0.131246,0.180416,0.185683,0.155356,0.157071
1978,0.13956,0.140566,0.12668,0.118065,0.145961,0.142784,0.129017,0.130762,0.180652,0.185804,0.155798,0.156832
1978,0.139797,0.1406,0.113246,0.117894,0.145991,0.142837,0.129232,0.131401,0.180215,0.185885,0.155466,0.156563
1978,0.139903,0.140601,0.112922,0.118363,0.145931,0.142829,0.12924,0.13113,0.180636,0.18282,0.155447,0.156735
1978,0.139754,0.140574,0.113174,0.117864,0.145944,0.14277,0.129336,0.131695,0.180248,0.185908,0.157263,0.156792
1978,0.139758,0.140553,0.113771,0.117796,0.145981,0.14279,0.129348,0.131455,0.180563,0.185806,0.155614,0.156845
1978,0.139728,0.140544,0.113383,0.118396,0.145914,0.142777,0.13985,0.131548,0.180315,0.185973,0.155349,0.156621
1978,0.13949,0.140569,0.113212,0.118111,0.145996,0.142756,0.129149,0.131371,0.180737,0.185767,0.155474,0.156728
1978,0.139763,0.140593,0.113474,0.118028,0.145941,0.142784,0.129319,0.13146,0.180631,0.185594,0.155286,0.156418
1978,0.139669,0.140561,0.113666,0.118088,0.1459,0.142804,0.140889,0.131521,0.180572,0.185799,0.155705,0.156338
1978,0.139767,0.140529,0.113466,0.117989,0.145968,0.142795,0.129393,0.13144,0.180403,0.185831,0.155333,0.156491
1978,0.139739,0.14057,0.1134,0.118259,0.146001,0.142794,0.129316,0.131453,0.180537,0.183012,0.15551,0.156369
1978,0.139689,0.140572,0.113364,0.118071,0.145936,0.142787,0.129378,0.1314,0.180271,0.183025,0.156918,0.156607
1978,0.139647,0.140571,0.113962,0.118015,0.145925,0.142781,0.129321,0.131405,0.180663,0.186065,0.155652,0.156302
1978,0.140402,0.1405,0.113603,0.11796,0.145953,0.142812,0.12937,0.131545,0.180254,0.182879,0.155126,0.156343
1978,0.139688,0.14057,0.11319,0.117976,0.145945,0.142799,0.12928,0.13131,0.180353,0.185893,0.155393,0.156087
51170,0.751256,0.782906,0.667537,0.781134,1.181237,1.211892,1.134501,1.173367,1.485305,1.599737,0.868784,0.920006
51170,0.750957,0.782582,0.666515,0.780832,1.18128,1.211849,1.134423,1.173883,1.485486,1.600015,0.873229,0.925014
51170,0.750603,0.782763,0.666316,0.782356,1.181298,1.211849,1.130321,1.173146,1.490308,1.599884,0.869326,0.923664
51170,0.751593,0.782763,0.666466,0.780621,1.18123,1.2124,1.136381,1.174166,1.484634,1.599375,0.868968,0.919558
51170,0.751037,0.782962,0.666191,0.780484,1.181619,1.211837,1.133083,1.173004,1.484099,1.598949,0.869137,0.919476
51170,0.750724,0.782615,0.666592,0.780101,1.18125,1.21196,1.134268,1.171624,1.483934,1.598471,0.868732,0.918597
51170,0.850517,0.782728,0.666167,0.779833,1.181336,1.212014,1.133222,1.173108,1.483847,1.599494,0.868744,0.919114
51170,0.757203,0.782636,0.679884,0.780318,1.181238,1.211993,1.133576,1.172882,1.484136,1.599318,0.869065,0.919068
51170,0.750775,0.782612,0.66786,0.779904,1.181258,1.211891,1.133473,1.171346,1.485682,1.599102,0.869387,0.919096
51170,0.750807,0.782923,0.675957,0.780688,1.18131,1.211967,1.132442,1.173131,1.483562,1.598386,0.86866,0.919003
51170,0.750489,0.782755,0.666608,0.779957,1.181326,1.212005,1.136158,1.173367,1.484138,1.599741,0.869009,0.920056
51170,0.750542,0.78261,0.666323,0.780327,1.181299,1.211795,1.133564,1.17309,1.484352,1.599631,0.869151,0.920333
51170,0.750466,0.782648,0.667444,0.780231,1.181293,1.211999,1.133396,1.173227,1.483874,1.600879,0.868764,0.92029
51170,0.750635,0.782751,0.666613,0.780556,1.181282,1.211882,1.133465,1.173036,1.484918,1.599309,0.868511,0.919204
51170,0.750893,0.782718,0.665997,0.780229,1.181255,1.211976,1.134422,1.173906,1.48441,1.599155,0.868997,0.919344
51170,0.750445,0.78255,0.666563,0.780455,1.181323,1.211878,1.132867,1.172837,1.484223,1.598936,0.868384,0.919454
51170,0.750563,0.782692,0.666582,0.780097,1.181201,1.211905,1.133122,1.172631,1.484147,1.611386,0.868307,0.918904
51170,0.751081,0.783038,0.666278,0.780309,1.181242,1.211944,1.133795,1.173349,1.484013,1.598902,0.868608,0.919119
51170,0.750503,0.783055,0.666078,0.780431,1.181283,1.21197,1.132941,1.173307,1.484243,1.599382,0.868373,0.919964
51170,0.750954,0.782751,0.66682,0.780677,1.181298,1.211928,1.134253,1.17297,1.484424,1.599353,0.86917,0.919497
51170,0.750767,0.782576,0.666186,0.780779,1.181261,1.211836,1.134039,1.172972,1.496947,1.599338,0.869149,0.919123
51170,0.750795,0.78291,0.665959,0.780836,1.181302,1.211869,1.133109,1.172673,1.484353,1.599,0.869154,0.920003
51170,0.750745,0.782989,0.66678,0.780847,1.181283,1.212058,1.133676,1.172825,1.484404,1.599379,0.869768,1.067022
51170,0.750957,0.782764,0.765526,0.780684,1.181245,1.21199,1.133246,1.173213,1.484484,1.599714,0.869451,0.919045
51170,0.750778,0.782408,0.666316,0.78018,1.181274,1.211898,1.131319,1.173074,1.484551,1.599006,0.872064,0.919028
51170,0.750731,0.782704,0.66651,0.779939,1.181299,1.211939,1.132727,1.173438,1.484272,1.598139,0.868627,0.919215
51170,0.750502,0.782696,0.666749,0.780366,1.181236,1.211956,1.132485,1.173214,1.484024,1.599167,0.869562,0.919872
51170,0.750459,0.782793,0.666393,0.781085,1.181334,1.21199,1.13494,1.17328,1.484517,1.599302,0.868616,0.919384
51170,0.750648,0.782838,0.667019,0.78061,1.181256,1.211967,1.133367,1.173209,1.484487,1.599349,0.86857,0.919336
51170,0.75057,0.78259,0.6665,0.780634,1.181275,1.21197,1.133814,1.172941,1.484284,1.599278,0.868901,0.919857
5235,0.181834,0.185128,0.153185,0.166189,0.215888,0.213602,0.196604,0.202156,0.273999,0.284476,0.207374,0.213382
5235,0.181806,0.184832,0.152943,0.165907,0.215865,0.213615,0.196481,0.202359,0.273947,0.283875,0.206628,0.210634
5235,0.181424,0.184892,0.153962,0.165838,0.215859,0.213592,0.19759,0.202952,0.275406,0.284498,0.207026,0.212738
5235,0.181541,0.184853,0.152344,0.165816,0.215819,0.213597,0.196495,0.202948,0.273724,0.284095,0.206409,0.210751
5235,0.181547,0.184845,0.152599,0.165809,0.215851,0.213602,0.196527,0.202345,0.27379,0.284072,0.206358,0.212607
5235,0.181614,0.184799,0.164614,0.165198,0.215879,0.213615,0.196344,0.202411,0.273917,0.284099,0.204963,0.211253
5235,0.181397,0.184895,0.152997,0.165131,0.215802,0.213587,0.196388,0.202401,0.273686,0.284063,0.207114,0.211119
