Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 4, 3, 1.409000, 1.410255, 1.409695,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408981, 1.410057, 1.409636,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408990, 1.409912, 1.409529,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409037, 1.414900, 1.412259,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409112, 1.409868, 1.409597,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408933, 1.409744, 1.409430,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408990, 1.410096, 1.409483,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408975, 1.410076, 1.409482,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409002, 1.410107, 1.409496,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409003, 1.410245, 1.409611,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409006, 1.410145, 1.409563,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408702, 1.410139, 1.409611,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409022, 1.410179, 1.409565,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409007, 1.410257, 1.409572,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409056, 1.410217, 1.409622,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408750, 1.410182, 1.409610,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409052, 1.410237, 1.409634,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409043, 1.409746, 1.409527,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.408944, 1.409784, 1.409495,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409022, 1.410041, 1.409613,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409098, 1.410329, 1.409714,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409030, 1.410400, 1.409595,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409052, 1.410250, 1.409546,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409075, 1.410405, 1.409633,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409007, 1.410554, 1.409646,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409106, 1.410285, 1.409619,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409093, 1.409846, 1.409611,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409097, 1.410008, 1.409667,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409083, 1.409728, 1.409508,370.60, 0.000560743, 1.80086e-06
102045, 4, 3, 1.409060, 1.409920, 1.409607,370.60, 0.000560743, 1.80086e-06
10420, 4, 3, 0.255243, 0.256142, 0.255781,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255205, 0.256342, 0.255921,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255217, 0.256303, 0.255801,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255195, 0.256152, 0.255803,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255346, 0.256462, 0.255880,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255368, 0.256381, 0.255946,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255356, 0.256260, 0.255869,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255227, 0.256157, 0.255798,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255345, 0.256339, 0.255911,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255233, 0.256377, 0.255929,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255186, 0.256270, 0.255820,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255225, 0.256320, 0.255923,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255300, 0.256242, 0.255836,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255209, 0.256165, 0.255804,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255216, 0.256069, 0.255720,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255228, 0.256175, 0.255819,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255199, 0.256257, 0.255834,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255179, 0.256160, 0.255791,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255140, 0.256349, 0.255864,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255242, 0.256264, 0.255812,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255250, 0.256138, 0.255781,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255162, 0.256290, 0.255845,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255183, 0.256701, 0.256002,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255335, 0.256262, 0.255836,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255170, 0.256239, 0.255800,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255206, 0.256268, 0.255847,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255316, 0.256369, 0.255917,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255185, 0.256207, 0.255810,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255221, 0.256296, 0.255822,76.88, 0.000217376, 1.01103e-05
10420, 4, 3, 0.255316, 0.256672, 0.255935,76.88, 0.000217376, 1.01103e-05
1052, 4, 3, 0.127080, 0.128079, 0.127685,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127066, 0.128015, 0.127642,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127094, 0.128103, 0.127683,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127084, 0.128077, 0.127665,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127059, 0.128148, 0.127716,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127082, 0.128079, 0.127656,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127076, 0.128127, 0.127715,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127077, 0.128105, 0.127692,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127081, 0.128043, 0.127664,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127108, 0.128068, 0.127680,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127105, 0.128123, 0.127701,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127099, 0.128090, 0.127703,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127083, 0.128055, 0.127651,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127089, 0.128161, 0.127751,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127088, 0.128136, 0.127723,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127095, 0.128049, 0.127625,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127083, 0.128080, 0.127663,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127094, 0.128057, 0.127671,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127085, 0.128092, 0.127698,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127093, 0.128171, 0.127739,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127080, 0.128033, 0.127645,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127095, 0.128034, 0.127650,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127077, 0.128079, 0.127668,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127090, 0.128040, 0.127666,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127092, 0.128036, 0.127656,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127082, 0.128131, 0.127711,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127090, 0.128106, 0.127652,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127089, 0.128038, 0.127619,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127093, 0.128262, 0.127754,14.91, 0.00109793, 5.43691e-05
1052, 4, 3, 0.127059, 0.128116, 0.127709,14.91, 0.00109793, 5.43691e-05
203163, 4, 3, 2.720022, 2.723574, 2.721879,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721341, 2.731807, 2.728175,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.720038, 2.729393, 2.726613,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.720117, 2.723185, 2.721492,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721346, 2.723710, 2.722029,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721334, 2.723355, 2.721905,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721234, 2.723832, 2.722057,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721323, 2.723412, 2.722029,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.719853, 2.723889, 2.721728,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721297, 2.723541, 2.722013,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721326, 2.723915, 2.722276,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721251, 2.723712, 2.722070,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721249, 2.723405, 2.721976,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.719990, 2.723528, 2.721448,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721159, 2.723738, 2.722002,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.720075, 2.722745, 2.721364,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721340, 2.723527, 2.722037,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721312, 2.724043, 2.722126,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721255, 2.724499, 2.722344,629.25, 0.0206253, 2.73657e-05
203163, 4, 3, 2.721177, 2.723584, 2.721889,629.25, 0.0206253, 2.73657e-05
