Elements, num_of_proc, p_N, Min_Exec_Time(Secs), Max_Exec_Time(Secs), Average_Exec_Time(Secs), Min_Send_Bw, Max_Send_Bw(Secs), Average_Send_Bw(Secs), Min_Rec_Bw, Max_Rec_Bw(Secs), Average_Recv_Bw(Secs), Data_size(in KB), Nodal_error, L2 Error
102045, 2, 3, 5.210406, 5.210927, 5.210666,3477.140258, 3533.915398, 3505.527828,3492.902373, 3536.725870, 3514.814121,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.210039, 5.213135, 5.211587,3469.204983, 3534.000844, 3501.602913,3484.838458, 3536.863683, 3510.851071,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209295, 5.212708, 5.211002,3479.838314, 3523.485278, 3501.661796,3494.693035, 3526.639895, 3510.666465,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209327, 5.210100, 5.209714,3480.039095, 3531.844527, 3505.941811,3494.972632, 3534.898514, 3514.935573,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209297, 5.209768, 5.209533,3479.012438, 3534.156277, 3506.584358,3494.368245, 3537.026674, 3515.697460,22635.24, 0.000578971, 1.73179e-06
102045, 2, 3, 5.209244, 5.209831, 5.209537,3478.252897, 3533.068430, 3505.660663,3493.599097, 3536.953430, 3515.276264,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209095, 5.209583, 5.209339,3479.081178, 3532.989784, 3506.035481,3494.403829, 3536.893894, 3515.648862,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209302, 5.209901, 5.209601,3478.309018, 3533.081493, 3505.695255,3493.696746, 3536.736476, 3515.216611,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209403, 5.210050, 5.209727,3480.273781, 3531.282427, 3505.778104,3495.659468, 3535.024800, 3515.342134,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209781, 5.210185, 5.209983,3478.005440, 3532.667767, 3505.336604,3493.281858, 3535.534178, 3514.408018,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209509, 5.209860, 5.209685,3479.602100, 3533.133049, 3506.367575,3495.016546, 3536.039754, 3515.528150,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209924, 5.210499, 5.210212,3477.906228, 3533.946069, 3505.926148,3493.153505, 3536.690007, 3514.921756,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209918, 5.210404, 5.210161,3477.648700, 3533.996853, 3505.822777,3492.628262, 3536.800444, 3514.714353,22635.24, 0.000578971, 1.73165e-06
102045, 2, 3, 5.209900, 5.210506, 5.210203,3475.990278, 3533.941607, 3504.965943,3491.238874, 3536.717919, 3513.978396,22635.24, 0.000578971, 1.73165e-06
