Data Size, Floats, t(us), min, max, avg (in MB/s)
1024, 256, 55.067640, 0.40, 18.31, 17.71
2048, 512, 73.124110, 22.27, 28.39, 26.69
4096, 1024, 101.169580, 36.31, 40.62, 38.60
8192, 2048, 110.878580, 65.94, 73.74, 70.45
16384, 4096, 124.587450, 72.21, 129.28, 125.78
32768, 8192, 129.358890, 218.03, 252.43, 241.59
65536, 16384, 139.300900, 314.47, 461.41, 449.14
131072, 32768, 199.176740, 439.89, 646.26, 628.42
262144, 65536, 282.143750, 540.81, 916.47, 888.21
524288, 131072, 427.763890, 662.21, 1193.47, 1172.69
1048576, 262144, 714.924190, 746.45, 1428.33, 1404.58
1572864, 393216, 1003.804810, 1272.25, 1526.54, 1494.74
2097152, 524288, 1280.235940, 1119.10, 1593.29, 1563.96
4194304, 1048576, 2366.408890, 1041.14, 1711.91, 1694.47
8388608, 2097152, 4503.768570, 1105.29, 1792.99, 1780.41
16777216, 4194304, 8775.066120, 1144.55, 1838.12, 1827.37
67108864, 16777216, 34650.012680, 1154.16, 1870.97, 1855.58
268435456, 67108864, 149341.575560, 1101.62, 1814.44, 1723.14
1073741824, 268435456, 591703.847040, 1094.50, 1814.80, 1739.14
