Data Size, Floats, t(us), min, max, avg (in MB/s)
1368, 342, 72.712860, 0.74, 18.37, 17.92
4000, 1000, 98.646320, 28.86, 39.34, 38.63
14112, 3528, 111.431990, 110.16, 122.44, 120.75
22680, 5670, 145.701930, 83.14, 151.96, 148.95
35280, 8820, 145.301620, 191.26, 235.70, 231.50
50760, 12690, 169.813500, 238.60, 290.22, 285.05
70080, 17520, 155.027620, 284.78, 441.45, 431.43
93744, 23436, 191.577530, 337.50, 477.36, 466.81
170160, 42540, 267.377980, 400.59, 623.68, 607.64
264000, 66000, 305.911650, 498.49, 850.60, 824.67
385560, 96390, 367.187800, 583.18, 1036.47, 1003.90
534912, 133728, 455.652820, 621.81, 1134.96, 1122.71
749280, 187320, 592.988490, 679.82, 1229.42, 1209.10
1127616, 281904, 754.874650, 766.87, 1468.10, 1430.73
1415736, 353934, 951.400000, 1117.16, 1438.19, 1420.10
1887648, 471912, 1230.271730, 1200.92, 1477.92, 1464.02
3775296, 943824, 2147.166290, 1088.75, 1697.71, 1680.11
17366360, 4341590, 9151.708180, 1156.86, 1834.22, 1817.43
69465444, 17366361, 35891.462840, 1173.49, 1869.01, 1853.77
277861784, 69465446, 147886.544440, 1124.70, 1863.65, 1800.20
1055874776, 263968694, 564549.131780, 1086.65, 1811.79, 1793.40
